"id","tender_No","type","delivery","department","cbrief","cd","dp","date_Published","brief","closing_Date","compulsory_briefing_session","status","category","description","province","contactPerson","email","telephone","fax","briefingVenue","conditions","biddersdoc","biddersdoclink","bf","bc","company","award_contact","contactNumber","dateModified","bidders"
37357,"EX 18-2022","Request for Proposal",,"South African Revenue Service",false,"Friday, 21 October 2022 - 11:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-10-21T11:00:00",,"Awarded","Information and communication","EX 18-2022 – Deviation for the renewal of maintenance and support services of the Adobe AEM solution. The period of the deviation is from 12 October 2022 to 11 October 2025","National","SARS Procurement  Department","TenderOffice@sars.gov.za","012-647-9569","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37361,"EX 17-2022","Request for Proposal",,"South African Revenue Service",false,"Friday, 21 October 2022 - 11:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-10-21T11:00:00",,"Awarded","Information and communication","EX 17-2022 – Deviation for the procurement of Entrust digital certificate services (mPKI certificates and SSL certificates). The period of the deviation is from 1 January 2023 to 31 December 2025","National","SARS Procurement  Department","TenderOffice@sars.gov.za","012-647-9569","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37363,"ERI/2021/BMS/06/Regret Letter","Request for Quotation","Witbank Employee Transportation - Witbank - Witbank - 1000","ESKOM",false,"Saturday, 31 December 2022 - 10:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-12-31T10:00:00",,"Awarded","Other service activities","Regret Letter : Employee Transportation for Witbank on as and when required basis over a period of thirty six (36) months","National","Phumzile Ncamani","ncamanpg@eskom.co.za","011-629-4546","011-629-4000",,"Not Applicable","",""," NO"," NO","N/A",,,,""
37375,"ERI/2022/CS/01/Regret Letter","Request for Quotation","Medupi Limpopo - Limpopo - Lephalale - 1000","ESKOM",false,"Friday, 30 December 2022 - 10:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-12-30T10:00:00",,"Awarded","Services: General","Regret Letter : Medupi ADF Phase 3 South A Liner : Supply and Delivery for the Medupi Coal Stock Yard D2 De-scoped works project at the Medupi power station near Lephalale, Limpopo ","Limpopo","Phumzile Ncamani","ncamanpg@eskom.co.za","011-629-4546","011-629-4000",,"Not Applicable","",""," NO"," NO","N/A",,,,""
37393,"301202",,,"SALDANHA BAY MUNICIPALITY",false,"Friday, 21 October 2022 - 11:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-10-21T11:00:00",,"Awarded","Accommodation","Accommodation","Western Cape","Abri Adonis","abri.adonis@sbm.gov.za","079-258-2708","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37442,"ERIC3246 - Notification of Award","Request for Bid(Open-Tender)","N/A - Notification of Award - Germiston - Germiston - 1400","ESKOM",false,"Wednesday, 30 November 2022 - 10:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-11-30T10:00:00",,"Awarded","Supplies: Electrical Equipment","The design, manufacture, testing, supply, delivery and off-loading of capacitance-graded transformer bushings (once-off)","National","Godfrey Radzelani","RadzelGR@eskom.co.za","011-871-3165","011-871-3160",,"N/A","",""," NO"," NO","N/A",,,,""
37454,"MWP1419GX-R","Request for Bid(Open-Tender)","01 Maxwell Drive - Sunninghill - Sandton - 2000","ESKOM",false,"Monday, 21 November 2022 - 10:00","Thursday, 20 October 2022","2022-10-20T00:00:00","<not available>","2022-11-21T10:00:00",,"Awarded","Services: Electrical","Provision for the Design, Engineering, Procurement, Construction, Construction Management, Start-Up, Commissioning, Performance Testing, Operator and Maintenance Training of Solar Agrivoltaics /Photovoltaic System for Komati Power Station ","National","Hellen Lebjane","LebjanH@eskom.co.za","036-342-3044","086-662-5420",,"Regret letter _ Provision for the Design, Engineering, Procurement, Construction, Construction Management, Start-Up, Commissioning, Performance Testing, Operator and Maintenance Training of Solar Agrivoltaics /Photovoltaic System for Komati Power Station ","",""," NO"," NO","N/A",,,,""
37265,"PO-052993","Deviation","15 Sherbborne Road - Parktown JHB - Gauteng - 2193","Services Sector Education and Training Authority",false,"Thursday, 20 October 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-10-20T11:00:00",,"Awarded","Services: General","Full qualification remediation","Gauteng","Conny Mathebula","connym@serviceseta.org.za","011-276-9621","N/A",,"None","",""," NO"," NO","N/A",,,,""
37272,"MPKEN10017GX","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - Ogies - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Awarded","Repair and installation of machinery and equipment","Regret Letter for Repairs and Maintenance of Castle Locks for Hydrastep Valves from unit 1-6 during running maintenance or the Boiler Maintenance Department at Kendal Power Station for a period of 5 years","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37273,"MPGXC005870R1","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - Ogies - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Awarded","Services: Functional (Including Cleaning and Security Services)","The provision of on Site General Cleaning services 24 hours 7 days a week Kendal power station for 3 years","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37274,"MPKEN10206GX","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - Ogies - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Awarded","Repair and installation of machinery and equipment","Regret Letter for Manpower for Striping and Minor Overhauling of Gearbox & Pumps at Kendal Power Station for a period of 5 years","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37275,"MPGXC006091","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - Ogies - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Awarded","Repair and installation of machinery and equipment","Regret Letter for The collection, dismantling, assess, report, repair, overhaul, rewind, assemble, supply spares, paint, test, test certificate, delivery of Medium Voltage electrical motors on an “as and when” required basis at Kendal Power Station for a period of five (5) years.","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37277,"MPGXC006837","Request for Bid(Open-Tender)","KENDAL POWERSTATION, N12/N4, R545/Balmoral OffRamp - Ogies - Emalahleni - 1035","ESKOM",false,"Monday, 21 November 2022 - 11:00","Wednesday, 19 October 2022","2022-10-19T00:00:00","<not available>","2022-11-21T11:00:00",,"Awarded","Repair and installation of machinery and equipment","Regret letter for ROUTINE MAINTENANCE, STATUTORY SERVICE AND REPAIRING OF TWO (2) SMOKESTACK LIFTS FORDURATION OF 5 YEARS AT KENDAL POWERSTATION","National","Isaac Segoatle","Segoati@eskom.co.za","017-799-2703","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
37045,"MPGXC006517 / AW","Request for Bid(Open-Tender)","Berthal - Ogies Road  - Kriel Power Station - Witbank/ Emalahleni - 2271","ESKOM",false,"Thursday, 27 October 2022 - 10:00","Tuesday, 18 October 2022","2022-10-18T00:00:00","<not available>","2022-10-27T10:00:00",,"Awarded","Supplies: General","AWARD FOR THE SUPPLY AND DELIVERY OF AMMONIA, ACID & CAUSTIC PLANT SPARES AS STOCK ITEMS ON AN “AS AND WHEN” REQUIRED BASIS FOR A PERIOD OF THREE YEARS TO KRIEL POWER STATION MAIN STORES ","National","Abram Rakgetse","rakgetan@eskom.co.za","011-800-6207","011-800-6207",,"N/A","",""," NO"," NO","N/A",,,,""
36925,"MPGXC006723 /Award","Request for Bid(Open-Tender)","Berthal - Ogies Road  - Kriel Power Station - Witbank/ Emalahleni - 2271","ESKOM",true,"Thursday, 27 October 2022 - 10:00","Monday, 17 October 2022","2022-10-17T00:00:00","Monday, 17 October 2022 - 10:00","2022-10-27T10:00:00","2022-10-17T10:00:00","Awarded","Other service activities","FOR
PROVISION OF PEST CONTROL SERVICES AT KRIEL POWER STATION FOR 5 YEARS 
","National","Abram Rakgetse","rakgetan@eskom.co.za","011-800-6207","011-800-6207","MS TEAMS","N/A","",""," NO"," NO","N/A",,,,""
36933,"MPGXC006766","Request for Bid(Open-Tender)","VaalPan Road  - Kriel Power Station - Kriel Power Station - 2271","ESKOM",false,"Thursday, 17 November 2022 - 11:00","Monday, 17 October 2022","2022-10-17T00:00:00","<not available>","2022-11-17T11:00:00",,"Awarded","Electricity, gas, steam and air conditioning","NOTIFICATION OF AWARD","Mpumalanga","Dieketseng Molise","molisedg@eskom.co.za","017-615-2855","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36934,"MPGXC006766","Request for Bid(Open-Tender)","VaalPan Road  - Kriel Power Station - Kriel Power Station - 2271","ESKOM",false,"Thursday, 17 November 2022 - 11:00","Monday, 17 October 2022","2022-10-17T00:00:00","<not available>","2022-11-17T11:00:00",,"Awarded","Electricity, gas, steam and air conditioning","NOTIFICATION OF AWARD","Mpumalanga","Dieketseng Molise","molisedg@eskom.co.za","017-615-2855","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36752,"LPMAT0014GX","Request for Bid(Open-Tender)","Matimba Power Station - lephalale - Lephalale - 0555","ESKOM",false,"Saturday, 31 December 2022 - 10:00","Friday, 14 October 2022","2022-10-14T00:00:00","<not available>","2022-12-31T10:00:00",,"Awarded","Services: Professional","Tender Award for Appointment of an independent control officer for the construction of the ash disposal facility at Matimba Power Station.","Limpopo","Tinyiko Makhubele","makhubtc@eskom.coza","011-800-6865","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36430,"RFQ 000533","Request for Proposal","Martin Hammerschlag Way, Foretrust Building - Foreshore - Cape Town - 8001","Marine Living Resources Fund",false,"Thursday, 13 October 2022 - 11:00","Wednesday, 12 October 2022","2022-10-12T00:00:00","<not available>","2022-10-13T11:00:00",,"Awarded","Other professional, scientific and technical activities","Appointment of a service provider to provide the Department of Forestry, Fisheries and the Environment (Marine Living Resources Fund (MLRF) with personnel to undertake a review of the outcomes of an independent stock assessment conducted by Rhodes University and conduct an updated Fishery Independent Abalone Survey (FIAS) in concession area EC1 the Eastern Cape, for a period of ten (10) Months for sustainable Aquaculture Management Directorate.","Western Cape","Pinky Moloi","pmoloi@dffe.gov.za","021-402-3397","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36480,"OLT20111174","Request for Quotation","Number 1 Maxwell Drive - Sunninghill - Johannesburg - 2191","ESKOM",false,"Wednesday, 26 October 2022 - 11:00","Wednesday, 12 October 2022","2022-10-12T00:00:00","<not available>","2022-10-26T11:00:00",,"Awarded","Computer programming, consultancy and related activities","Award letter for Online Vending System (OVS) and Prepayment Support Gateway (PSG) Maintenance & Support","Gauteng","Motlagae Mokoka","mokokam@eskom.co.za","011-800-2165","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36356,"RFQ 474-10-2022 ","Request for Quotation","Cnr Tempest and Jan Hofmeyer Road - Jim Fouche park - Welkom - 9459","Lejweleputswa District Municipality",false,"Tuesday, 18 October 2022 - 16:00","Tuesday, 11 October 2022","2022-10-11T00:00:00","<not available>","2022-10-18T16:00:00",,"Awarded","Supplies: General","Request for Decoration and sound system during O.R Tambo Games","Free State","Mr. M. Ngoase","malemoha@lejwe.co.za","057-101-0187","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
36100,"SADPMR 01/09/2022","Request for Bid(Open-Tender)","Corner Bonaero Drive and 2 Cote D Azur Avenue, Kempton Park 1622, South Africa - Bonaero Park - Kempton Park - 1622","South African Diamond and Precious Metals Regulator",false,"Tuesday, 18 October 2022 - 11:00","Friday, 07 October 2022","2022-10-07T00:00:00","<not available>","2022-10-18T11:00:00",,"Awarded","Telecommunications","REQUEST FOR PROPOSALS FOR TELECOMMUNICATION MOBILE DEVICES FOR THE SOUTH AFRICAN DIAMOND AND PRECIOUS METALS REGULATOR EMPLOYEES FOR A PERIOD OF TWO (2) YEARS.","Gauteng","C Khadiamovha","cynthiak@sadpmr.co.za","011-223-7000","N/A",,"N/A","",""," NO"," NO","TELKOM SA","Wendy Baloyi","0658201061",,""
36158,"DOH(FS)08/2019/2020","Request for Bid(Open-Tender)","c/o Charlotte Maxeke Street and Harvey Road - Bophelo House - Bloemfontein - 9301","Free State - Health",false,"Monday, 10 October 2022 - 11:00","Friday, 07 October 2022","2022-10-07T00:00:00","<not available>","2022-10-10T11:00:00",,"Awarded","Supplies: Medical","SUPPLY AND DELIVERY OF ORTHOTICS AND PROSTHETICS FOR THE FREE STATE DEPARTMENT OF HEALTH","Free State","N Tsiloane","tsiloanen1@fshealth.gov.za","051-408-1160","N/A",,"N/A","",""," NO"," NO","MEDIS","N Tsiloane","051 408 1160",,""
35768,"10333933","Request for Quotation","OFF Malta Road - Salt River - Cape Town - 7942","Passenger Rail Agency of South Africa",false,"Monday, 10 October 2022 - 10:00","Thursday, 06 October 2022","2022-10-06T00:00:00","<not available>","2022-10-10T10:00:00",,"Awarded","Supplies: Electrical Equipment","Supply and Delivery of Heat Shrink","Western Cape","Thembinkosi Dingaan","thembinkosi.dingaan@prasa.com","021-449-3167","N/A",,"N/A","",""," NO"," NO","Mnisiwemvula Holdings","Thembinkosi Dingaan","021-449-3167",,""
35866,"FP02/2022PO","Request for Bid(Open-Tender)"," CNR KOCH & 7 AVENUE - SALVOKOP - PRETORIA - 0001","Freedom Park Trust",false,"Friday, 14 October 2022 - 11:00","Thursday, 06 October 2022","2022-10-06T00:00:00","<not available>","2022-10-14T11:00:00",,"Awarded","Services: Building","Request for proposals for the appointment of a professional service provider: to provide Facility Management services for Freedom Park for a period of 5 years","Gauteng","Mr Edward Buthelezi","edward@freedompark.co.za","012-336-4003","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
35868,"FP05/2022 PO ",," CNR KOCH & 7 AVENUE - SALVOKOP - PRETORIA - 0001","Freedom Park Trust",false,"Friday, 14 October 2022 - 11:00","Thursday, 06 October 2022","2022-10-06T00:00:00","<not available>","2022-10-14T11:00:00",,"Awarded","Manufacture of machinery and equipment n.e.c.","Appointment of service provider for the design, supply, delivery, offloading installation, and commissioning of (HVAC)/ air conditioning at the Freedom Park","Gauteng","Mr Edward Buthelezi","edward@freedompark.co.za","012-336-4003","012-336-4000",,"N/A","",""," NO"," NO","N/A",,,,""
35697,"TNPA/2022/09/1175/13301/RFQ","Request for Quotation","34 South arm road - Cape Town - CAPE TOWN - 8000","Transnet National Ports Authority",true,"Wednesday, 26 October 2022 - 16:00","Wednesday, 05 October 2022","2022-10-05T00:00:00","Tuesday, 11 October 2022 - 12:00","2022-10-26T16:00:00","2022-10-11T12:00:00","Awarded","Services: Building","FOR THE PROVISION OF SERVICES FOR THE GENERAL (DOMESTIC) WASTE REMOVAL FOR TRANSNET SOC LTD (REG. NO 1990/000900/30) TRADING THROUGH ITS OPERATION DIVISION TRANSNET NATIONAL PORTS AUTHORITY (HEREINAFTER REFERRED TO AS “TNPA”) IN THE PORT OF CAPE TOWN","Western Cape","Taetsi Matlhong","taetsi.matlhong@transnet.net","021-449-5846","N/A","TNPA, HR & Procurement building, 34 South Arm Road, Port of Cap","Note to the bidders:
Bidders are required to ensure that electronic bid submissions are done at least a day before the closing date to prevent issues which they may encounter due to their internet speed, bandwidth or the size of the number of uploads they are submitting. Transnet will not be held liable for any challenges experienced by bidders as a result of the technical challenges. Please do not wait for the last hour to submit. A Bidder can upload 30mb per upload and multiple uploads are permitted.","","","Yes","Yes","N/A",,,,""
35543,"DMRE/001/2022/23","Request for Proposal","Bylsbridge Office Park, Building 9, Alexandra Road - Doringkloof - Centurion, Pretoria - 0081","Independent Power Producer Office (IPPO) - part of Department of
Mineral Resources and Energy",false,"Tuesday, 08 November 2022 - 17:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-11-08T17:00:00",,"Awarded","Electricity, gas, steam and air conditioning","List of Bidders/Bids Received under Bid Window 6 of the Department of Mineral Resources and Energy's Renewable Energy Independent Power Producers Procurement Programme (REIPPPP) on 3 October 2022","National","Project Officer","info@ipp-projects.co.za","087-351-3000","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
35584,"KZN/RAIL/10/2022/01/Q","Request for Quotation","65 MASABALALA YENGWA AVENUE - DURBAN STATION - DURBAN - 4001","Passenger Rail Agency of South Africa",false,"Tuesday, 11 October 2022 - 12:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-10-11T12:00:00",,"Awarded","Supplies: General","PURCHASING AGREEMENT OF SUPPLYING CLOTHS, FLAGS AND ROPES FOR 36 MONTHS AS AND WHEN CONTRACTS ","KwaZulu-Natal","NURSE KHAKHUSE","nkhakhuse@prasa.com","031-813-0082","N/A",,"BID DOCUMENT MUST BE DOWNLOADED FROM E TENDER WEBSITE OR CAN BE REQUESTED BY EMAIL FROM nkhakhuse@prasa.com BID RESPONSE DOCUMENTS MUST BE EMAILED TO metkznqoute3@prasa.com","",""," NO"," NO","N/A",,,,""
35628,"07/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Friday, 04 November 2022 - 00:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-11-04T00:00:00",,"Awarded","Services: Functional (Including Cleaning and Security Services)","Notice of Award: Appointment of Service Provider for Park Facilities Management to iSimangaliso Wetland Park Authority ","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
35629,"15/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Friday, 04 November 2022 - 00:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-11-04T00:00:00",,"Awarded","Professional, scientific and technical activities","Notice of Award: Appointment of Service Provider for Estuary Management Service located in iSimangaliso Wetland Park ","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
35630,"02/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Friday, 04 November 2022 - 00:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-11-04T00:00:00",,"Awarded","Information and communication","Notice of Award: Appointment of Service Provider for Computer Software Service to iSimangaliso Wetland Park Authority ","Northern Cape","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",,"N/A","",""," NO"," NO","N/A",,,,""
35631,"06/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Friday, 04 November 2022 - 00:00","Tuesday, 04 October 2022","2022-10-04T00:00:00","<not available>","2022-11-04T00:00:00",,"Awarded","Advertising and market research","Notice of Award: Appointment of Panel for Advertising and Communication Services to iSimangaliso Wetland Park Authority ","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",,"Bidders may access appointed panel on the following link: https://www.dropbox.com/s/1w0k02grmeg29y7/Advertising%20aand%20Communication%20Panel.zip?dl=0","",""," NO"," NO","N/A",,,,""
35405,"KZN/RAIL/09/2022/012/Q-1","Request for Quotation","65 Masabalala Yengwa Avenue - Greyville - Durban - 4001","Passenger Rail Agency of South Africa",true,"Thursday, 13 October 2022 - 10:00","Monday, 03 October 2022","2022-10-03T00:00:00","Friday, 07 October 2022 - 10:00","2022-10-13T10:00:00","2022-10-07T10:00:00","Awarded","Services: Civil","REQUEST FOR QUOTATION (RFQ) FOR THE REPAIRS TO STEEL PEDESTRIAN BRIDGE AT UMBILO STATION FOR PRASA KZN","KwaZulu-Natal","Rani Padayachee","rani.padayachee@prasa.com","031-813-0138","N/A","PRASA,METRORAIL KZN, 65 Masabalala Yengwa Avenue, Greyville, Durban Station, Roof Level Entrance","N/A","","","Yes","Yes","Abangani Projects","Philisiwe","0828432243",,""
35466,"KZN/RAIL/08/17/2022/001/Q-1","Request for Quotation","65 Masabalala Yengwa Avenue - Greyville - Durban - 4001","Passenger Rail Agency of South Africa",false,"Tuesday, 11 October 2022 - 12:00","Monday, 03 October 2022","2022-10-03T00:00:00","<not available>","2022-10-11T12:00:00",,"Awarded","Services: General","REPAIRS TO DRIVERS CAB INSTRUMENT GAUGES FOR 10M5 AND 5M2A MOTOR COACHES OVER A PERIOD OF THREE YEARS FOR METRORAIL KZN","KwaZulu-Natal","Rani Padayachee","rani.padayachee@prasa.com","031-813-0138","N/A",,"N/A","",""," NO"," NO","Mjantshi Engineering Consultance","SD Twala","0828877206",,""
