"id","tender_No","type","delivery","department","cbrief","cd","dp","date_Published","brief","closing_Date","compulsory_briefing_session","status","category","description","province","contactPerson","email","telephone","fax","briefingVenue","bf","bc","conditions"
34800,"LNM014/2022/23","Request for Bid(Open-Tender)","170 BA - Lebowakgomo - Lebowakgomo - 0745","Lepelle-Nkumpi Municipality",true,"Thursday, 27 October 2022 - 11:00","Tuesday, 27 September 2022","2022-09-27T00:00:00","Wednesday, 05 October 2022 - 09:00","2022-10-27T11:00:00","2022-10-05T09:00:00","Closed","Construction","DITHABANENG UPGRADING OF GRAVEL ROAD FROM GRAVEL TO TAR AND STORMWATER CONTROL ( TURNKEY PROJECT)","Limpopo","Mr Hancy Maoto/ Mr Mxolisi Bembe","Mxolisi.Bembe@lepelle-nkumpi.gov.za","015-633-4556","N/A","DITHABANENG NEXT TO DITHABANENG PRIMARY SCHOOL"," Yes","Yes","DOCUMENTS WILL ONLY BE AVAILABLE ON ETENDER AND MUNICIPAL WEBSITE"
34855,"MPMAT10452GX","Request for Bid(Open-Tender)","Delmas Road - Kriel - Mpumalanga - 2271","ESKOM",true,"Tuesday, 25 October 2022 - 10:00","Tuesday, 27 September 2022","2022-09-27T00:00:00","Thursday, 13 October 2022 - 10:00","2022-10-25T10:00:00","2022-10-13T10:00:00","Closed","Services: Electrical","The purchase of a 10 ML/D rapid deployment mobile RO plant and associated pre-treatment units as well as the delivery, site preparation, installation, commissioning of the plant and operation and maintenance at Matla Power Station. ","Mpumalanga","Abegail Mbuza","Abegail.mabuza@eskom.co.za","011-800-6943","N/A","Microsoft Teams"," Yes"," NO","N/A"
34692,"20/2022","Request for Bid(Open-Tender)","R618 - St Lucia - St Lucia - 3936","iSimangaliso Wetland Park",false,"Wednesday, 26 October 2022 - 00:00","Monday, 26 September 2022","2022-09-26T00:00:00","<not available>","2022-10-26T00:00:00",,"Closed","Construction","Closing Register: RFP Panel for Construction Work on Capital Projects","KwaZulu-Natal","Bids Representative","bids@isimangaliso.com","035-590-1633","N/A",," NO"," NO","N/A"
34345,"RFI/SASSETA/20222301","Request for Information","Building 2 Waterfall Corporate Campus - 74 Waterfall Drive - Waterfall City, Midrand - 2090","Safety and Security Sector Education and Training Authority (Sasseta)",false,"Friday, 30 September 2022 - 11:00","Thursday, 22 September 2022","2022-09-22T00:00:00","<not available>","2022-09-30T11:00:00",,"Closed","Services: Professional","Provision and Implementation of Integrated Management Information System to Support SASSETA Core Business","Gauteng","Ms. Lebo Hlombe","scm01@sasseta.org.za","011-087-0000","N/A",," NO"," NO","N/A"
33731,"NLC/2022-14","Request for Bid(Open-Tender)","333 Grosvenor Street, Block D, Hatfield Gardens   - Hatfield  - Pretoria  - 0083","National Lotteries Commission",false,"Tuesday, 18 October 2022 - 11:00","Monday, 19 September 2022","2022-09-19T00:00:00","<not available>","2022-10-18T11:00:00",,"Closed","Services: Professional","REQUEST FOR PRICE PROPOSALS FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR RECORDS DIGITIZATION AND MIGRATION: RECORDS MANAGEMENT FOR THE NATIONAL LOTTERIES COMMISSION FOR A PERIOD OF   TWO (2) YEARS.","Gauteng","Njabulo Mavuma","bids@nlcsa.org.za","012-432-1302","N/A",," NO"," NO","N/A"
33732,"IYM SCMU RFQ 27-2022/2023","Request for Quotation","201 main street  - cofimvaba - cofimvaba - 5380","Intsika Yethu Local Municipality",false,"Monday, 26 September 2022 - 12:00","Monday, 19 September 2022","2022-09-19T00:00:00","<not available>","2022-09-26T12:00:00",,"Closed","Services: Professional","CONVEYANCING SERVICES","Eastern Cape","N Rols","rolsn@intsikayethu.gov.za","047-874-8775","047-874-0010",," NO"," NO","N/A"
33279,"KCDM/MIG/02/2022","Request for Bid(Open-Tender)","KING CETSHWAYO HOUSE - CORNER OF KURGERRAND & BARBADOS BAY ROAD - CBD RICHARDS BAY  - 3900","King Cetshwayo Municipality",true,"Monday, 17 October 2022 - 12:00","Thursday, 15 September 2022","2022-09-15T00:00:00","Wednesday, 21 September 2022 - 12:00","2022-10-17T12:00:00","2022-09-21T12:00:00","Closed","Waste collection, treatment and disposal activities; materials recovery","TENDER FOR THE GREATER MTHONJANENI SSA 4 BULK WATER SUPPLY IMPROVEMENTS UPGRADE IMPROVEMENTS OF ZIMELA PUMPSTATION 1,2, AND 3","KwaZulu-Natal","Mr Z Ndlovu","ndlovuze@kingcetshwayo.gov.za","035-799-2513","035-799-2500","ePhobane, Zimele Pump station"," Yes","Yes","N/A"
33289,"KCDM/MIG/01/2022","Request for Bid(Open-Tender)","KING CETSHWAYO HOUSE - CORNER OF KURGERRAND & BARBADOS BAY ROAD - CBD RICHARDS BAY  - 3900","King Cetshwayo Municipality",true,"Monday, 17 October 2022 - 12:00","Thursday, 15 September 2022","2022-09-15T00:00:00","Wednesday, 21 September 2022 - 10:00","2022-10-17T12:00:00","2022-09-21T10:00:00","Closed","Accommodation","TENDER FOR THE GREATER MTHONJANENI SSA 4 BULK WATER SUPPLY IMPROVEMENTS CONSTRUCTION OF A 2.5ML UPGRADE RESERVOIR","KwaZulu-Natal","Mr Z Ndlovu","ndlovuze@kingcetshwayo.gov.za","035-799-2513","035-799-2500","Ekuthuleni, Reservoir R2-1."," Yes","Yes","N/A"
32915,"Q 31 EDTEA 2022/2023","Request for Quotation","270 Jabu Ndlovu Street - PMB CBD - Pietermaritzburg - 3201","Kwazulu Natal - Economic Development, Tourism and Environ Affairs",false,"Tuesday, 27 September 2022 - 15:00","Tuesday, 13 September 2022","2022-09-13T00:00:00","<not available>","2022-09-27T15:00:00",,"Closed","Travel agency, tour operator, reservation service and related activities","APPOINTMENT OF SERVICE PROVIDER TO PROVIDE CULTURE AND NATURE TRAINING OF TOURIST GUIDES UNDER AMAJUBA DISTRICT MUNICIPALITY AND NATURE TRAINING UNDER UMKHANYAKUDE DISTRICT MUNICIPALITY","KwaZulu-Natal","Ntombifuthi Shange","ntombifuthi.shange@kznedtea.gov.za","033-264-2663","N/A",," NO"," NO","N/A"
32598,"NCR802.02.2022","Request for Bid(Open-Tender)","NATIONAL CREDIT REGULATOR, 127-15TH ROAD, RANDJIESPARK, HALFWAY HOUSE, MIDRAND - MIDRAND - MIDRAND - 1683","National Credit Regulator",true,"Thursday, 13 October 2022 - 11:00","Friday, 09 September 2022","2022-09-09T00:00:00","Tuesday, 20 September 2022 - 10:00","2022-10-13T11:00:00","2022-09-20T10:00:00","Closed","Services: Functional (Including Cleaning and Security Services)","APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE GUARDING AND ELECTRONIC SECURITY SERVICES TO BOTH THE NCR PREMISES.","Gauteng","Procurement","procurement@ncr.org.za","011-554-2713","011-554-2713","NATIONAL CREDIT REGULATOR, 127-15TH ROAD, RANDJIESPARK, HALFWAY HOUSE, MIDRAND"," Yes","Yes","N/A"
32605,"NCR803.02.2022","Request for Bid(Open-Tender)","NATIONAL CREDIT REGULATOR, 127-15TH ROAD, RANDJIESPARK, HALFWAY HOUSE, MIDRAND - MIDRAND - MIDRAND - 1683","National Credit Regulator",true,"Monday, 10 October 2022 - 11:00","Friday, 09 September 2022","2022-09-09T00:00:00","Monday, 19 September 2022 - 10:00","2022-10-10T11:00:00","2022-09-19T10:00:00","Closed","Services: Functional (Including Cleaning and Security Services)","APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE CLEANING, HYGIENE, DISINFECTION, PEST CONTROL AND GARDENING SERVICES TO THE NCR PREMISES.","Gauteng","Procurement","procurement@ncr.org.za","011-554-2713","011-554-2713","NATIONAL CREDIT REGULATOR, 127-15TH ROAD, RANDJIESPARK, HALFWAY HOUSE, MIDRAND"," Yes","Yes","N/A"
32536,"RQ 10179","Request for Quotation","167 Thabo Sehume Street,Delta Heights Building - PRETORIA CENTRAL - PRETORIA - 0001","Labour",false,"Wednesday, 28 September 2022 - 11:00","Thursday, 08 September 2022","2022-09-08T00:00:00","<not available>","2022-09-28T11:00:00",,"Closed","Services: Professional","Appointment of Service Provider to Manage ,Dispense and distribute Chronic Medication to COIDA patients at Compensation Fund for a period of 6 Months.","National",,"CFquotations@labour.gov.za","012 406 5712","N/A",," NO"," NO","NONE"
32537,"RQ 10179","Request for Quotation","167 Thabo Sehume Street,Delta Heights Building - PRETORIA CENTRAL - PRETORIA - 0001","Labour",false,"Wednesday, 28 September 2022 - 11:00","Thursday, 08 September 2022","2022-09-08T00:00:00","<not available>","2022-09-28T11:00:00",,"Closed","Services: Professional","Appointment of Service Provider to Manage ,Dispense and distribute Chronic Medication to COIDA patients at Compensation Fund for a period of 6 Months.","National",,"CFquotations@labour.gov.za","012 406 5712","N/A",," NO"," NO","NONE"
32538,"RQ 10179","Request for Quotation","167 Thabo Sehume Street,Delta Heights Building - PRETORIA CENTRAL - PRETORIA - 0001","Labour",false,"Wednesday, 28 September 2022 - 11:00","Thursday, 08 September 2022","2022-09-08T00:00:00","<not available>","2022-09-28T11:00:00",,"Closed","Services: Professional","Appointment of Service Provider to Manage ,Dispense and distribute Chronic Medication to COIDA patients at Compensation Fund for a period of 6 Months.","National",,"CFquotations@labour.gov.za","012 406 5712","N/A",," NO"," NO","NONE"
32327,"RFQ-21-000235","Request for Quotation","100 Old Soutpan Road - Onderstepoort - Pretoria - 0110","Agricultural Research Council",false,"Tuesday, 13 September 2022 - 11:00","Wednesday, 07 September 2022","2022-09-07T00:00:00","<not available>","2022-09-13T11:00:00",,"Closed","Supplies: Clothing/Textiles/Footwear","Supply and Delivery of Protective Clothing","Gauteng","Katlego Kgothatso Chaba","chabak@arc.agric.za","012-529-9314","N/A",," NO"," NO","N/A"
31634,"ERIC1804","Request for Bid(Open-Tender)","Rosherville  Tower Testing Centre - Rosherville, Johannesburg - Germiston - 2022","ESKOM",false,"Thursday, 22 September 2022 - 10:00","Thursday, 01 September 2022","2022-09-01T00:00:00","<not available>","2022-09-22T10:00:00",,"Closed","Services: General","Once-off supply and delivery of 1 x Multi-spectral (UV corona, IR thermal, Visual) line inspection camera","Gauteng","Eugene de Kock","dkocke@eskom.co.za","011-629-5134","N/A",," NO"," NO","As specified in the Invitation to Tender"
